Date,Observer,Group,Focal_ID,Focal_Fatness,Time,minutes,EA ,FO,TR,RE,SO,AM,AF,JV,AL,Notes,,,,,,,,,
8/9/24,Bella,A,AM8,2,10:12 AM,7,0.000,0.140,0.570,0.290,0.000,0.000,0.430,0.570,0.000,,,,,,,,,,
8/9/24,Bella,A,AM3,2,10:18 AM,10,0.000,0.100,0.600,0.300,0.000,0.000,0.000,0.300,0.700,,,,,,,,,,
7/5/23,Natalie,B,AM,2,10:01 AM,10,0.200,0.400,0.400,0.000,0.000,0.000,0.000,0.000,1.000,,,,,,,,,,
7/17/23,Anita,B,AM,2,11:36 AM,5,0.000,0.400,0.400,0.200,0.000,0.000,0.000,0.600,0.400,,,,,,,,,,
7/18/23,Jilly,B,AM,2,9:42 AM,5,0.000,0.600,0.400,0.000,0.000,0.000,0.000,0.000,1.000,,,,,,,,,,
7/18/23,Jilly,B,AM,2,11:58 AM,9,0.670,0.110,0.110,0.110,0.000,0.780,0.000,0.000,0.220,,,,,,,,,,
7/18/23,Jilly,B,AM,2,12:09 PM,10,0.600,0.300,0.100,0.000,0.000,0.500,0.300,0.000,0.200,,,,,,,,,,
7/19/23,Jilly,B,AM,2,10:35 AM,10,0.100,0.400,0.200,0.200,0.100,0.000,0.300,0.300,0.400,,,,,,,,,,
7/19/23,Jilly,B,AM,2,10:44 AM,10,0.600,0.100,0.200,0.100,0.000,0.000,0.700,0.100,0.200,,,,,,,,,,
7/19/23,Jilly,B,AM,2,11:23 AM,10,0.300,0.600,0.100,0.000,0.000,0.700,0.000,0.000,0.300,,,,,,,,,,
7/19/23,Jilly,B,AM,2,11:57 AM,6,0.170,0.170,0.330,0.330,0.000,0.000,1.000,0.000,0.000,,,,,,,,,,
7/20/23,Jacob,B,AM,2,11:20 AM,9,0.000,0.220,0.110,0.670,0.000,0.000,0.440,0.000,0.560,,,,,,,,,,
7/25/23,Jilly,B,AM,2,9:26 AM,10,0.000,0.300,0.500,0.200,0.000,0.000,0.000,0.000,1.000,,,,,,,,,,
7/25/23,Jilly,B,AM,2,10:08 AM,7,0.000,0.290,0.570,0.140,0.000,0.140,0.140,0.000,0.710,,,,,,,,,,
7/28/23,Jilly,B,AM,2,11:42 AM,10,0.000,0.000,0.600,0.300,0.100,0.000,0.700,0.100,0.200,,,,,,,,,,
8/3/23,Jacob,B,AM,2,11:21 AM,10,0.200,0.200,0.100,0.500,0.000,0.900,0.000,0.000,0.100,"NN AM is grade 3 for all, eating and foraging anajá",,,,,,,,,
7/19/24,Vanessa,B,AM,2,11:02 AM,5,0.000,0.000,0.600,0.400,0.000,0.000,0.800,0.000,0.200,,,,,,,,,,
7/20/24,Anita,B,AM,2,11:29 AM,5,0.600,0.200,0.200,0.000,0.000,0.000,0.800,0.000,0.200,"AM=NC, NH",,,,,,,,,
7/24/24,Landon,B,AM,2,10:36 AM,8,0.000,0.125,0.500,0.375,0.000,0.000,0.250,0.250,0.500,,,,,,,,,,
8/9/24,Landon,B,AM9,2,9:03 AM,5,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,"female maintaining proximity, PU in between focals",,,,,,,,,
7/23/24,Bella,B,AM,2,10:41 AM,6,0.000,0.170,0.830,0.000,0.000,0.000,0.000,0.000,1.000,,,,,,,,,,
8/2/24,Bella,B,AM,2,9:13 AM,10,0.300,0.000,0.700,0.000,0.000,0.000,0.100,0.400,0.500,,,,,,,,,,
8/6/24,Bella,B,AM,2,8:18 AM,10,0.100,0.300,0.200,0.400,0.000,0.000,0.000,0.000,1.000,,,,,,,,,,
7/6/23,Jacob,A,AM,3,10:42 AM,10,0.000,0.200,0.100,0.500,0.200,0.000,1.000,0.000,0.000,"SO = following AF 14, NN is AF 14 for all",,,,,,,,,
7/7/23,Jilly,A,AM5,3,9:01 AM,8,0.130,0.380,0.250,0.250,0.000,0.000,0.000,0.000,1.000,,,,,,,,,,
7/10/23,Jilly,A,AM,3,10:50 AM,9,0.000,0.220,0.440,0.330,0.000,0.000,1.000,0.000,0.000,,,,,,,,,,
7/10/23,Jilly,A,AM,3,11:06 AM,6,0.000,0.330,0.500,0.170,0.000,0.170,0.170,0.000,0.670,,,,,,,,,,
7/13/23,Jacob,A,AM5,3,11:09 AM,10,0.100,0.400,0.200,0.300,0.000,0.000,0.100,0.100,0.800,,,,,,,,,,
7/14/23,Jilly,A,AM,3,9:22 AM,10,0.000,0.100,0.500,0.300,0.100,0.200,0.500,0.000,0.300,,,,,,,,,,
7/14/23,Jilly,A,AM5,3,9:37 AM,10,0.100,0.600,0.300,0.000,0.000,0.000,0.600,0.300,0.100,,,,,,,,,,
7/17/23,Jacob,A,AM,3,9:02 AM,5,0.000,0.400,0.600,0.000,0.000,0.000,0.000,0.000,1.000,,,,,,,,,,
7/17/23,Jacob,A,AM5,3,9:56 AM,8,0.000,0.750,0.250,0.000,0.000,0.000,0.500,0.000,0.500,NN is AF 18 for one of them,,,,,,,,,
